#nucleus-nld-mass-strength-omp for 168Ho-1-1-1-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
5.50000E+00 2.01120E-08 1.16510E-07 2.10244E-05 1.21796E-04
6.00000E+00 2.57012E-08 1.35116E-07 3.48808E-05 1.83375E-04
6.50000E+00 3.11774E-08 1.56729E-07 5.37973E-05 2.70439E-04
7.00000E+00 3.44498E-08 1.82132E-07 7.42440E-05 3.92519E-04
7.50000E+00 3.36950E-08 2.12354E-07 8.93161E-05 5.62892E-04
8.00000E+00 2.94087E-08 2.48766E-07 9.46074E-05 8.00279E-04
8.50000E+00 2.37916E-08 2.93214E-07 9.18036E-05 1.13142E-03
9.00000E+00 1.85789E-08 3.48222E-07 8.50996E-05 1.59501E-03
9.50000E+00 1.43947E-08 4.17273E-07 7.75448E-05 2.24787E-03
1.00000E+01 1.12264E-08 5.05212E-07 7.05373E-05 3.17434E-03
1.05000E+01 8.86801E-09 6.18780E-07 6.45021E-05 4.50074E-03
1.10000E+01 7.10883E-09 7.67210E-07 5.94506E-05 6.41611E-03
1.15000E+01 5.78253E-09 9.62556E-07 5.52575E-05 9.19813E-03
1.20000E+01 4.76852E-09 1.21859E-06 5.17735E-05 1.32306E-02
1.25000E+01 3.98173E-09 1.54516E-06 4.88632E-05 1.89620E-02
1.30000E+01 3.36236E-09 1.93217E-06 4.64146E-05 2.66720E-02
1.35000E+01 2.86811E-09 2.32005E-06 4.43381E-05 3.58656E-02
1.40000E+01 2.46872E-09 2.58297E-06 4.25633E-05 4.45331E-02
1.45000E+01 2.14225E-09 2.59273E-06 4.10349E-05 4.96640E-02
1.50000E+01 1.87256E-09 2.34416E-06 3.97091E-05 4.97096E-02
1.55000E+01 1.64765E-09 1.96102E-06 3.85513E-05 4.58835E-02
1.60000E+01 1.45843E-09 1.57244E-06 3.75341E-05 4.04683E-02
1.65000E+01 1.29798E-09 1.24230E-06 3.66352E-05 3.50638E-02
1.70000E+01 1.16091E-09 9.82930E-07 3.58366E-05 3.03423E-02
1.75000E+01 1.04305E-09 7.85128E-07 3.51236E-05 2.64384E-02
1.80000E+01 9.41073E-10 6.35142E-07 3.44842E-05 2.32739E-02
1.85000E+01 8.52339E-10 5.20751E-07 3.39084E-05 2.07169E-02
1.90000E+01 7.74725E-10 4.32543E-07 3.33878E-05 1.86410E-02
1.95000E+01 7.06507E-10 3.63638E-07 3.29155E-05 1.69416E-02
2.00000E+01 6.46277E-10 3.09092E-07 3.24854E-05 1.55367E-02
2.10000E+01 5.45345E-10 2.29848E-07 3.17329E-05 1.33745E-02
2.20000E+01 4.64821E-10 1.76528E-07 3.10981E-05 1.18103E-02
2.30000E+01 3.99716E-10 1.39186E-07 3.05573E-05 1.06404E-02
2.40000E+01 3.46452E-10 1.12139E-07 3.00924E-05 9.74025E-03
2.50000E+01 3.02416E-10 9.19885E-08 2.96896E-05 9.03095E-03
2.60000E+01 2.65664E-10 7.66127E-08 2.93381E-05 8.46060E-03
2.70000E+01 2.34729E-10 6.46387E-08 2.90294E-05 7.99399E-03
2.80000E+01 2.08490E-10 5.51487E-08 2.87567E-05 7.60657E-03
2.90000E+01 1.86076E-10 4.75118E-08 2.85145E-05 7.28074E-03
3.00000E+01 1.66808E-10 4.12838E-08 2.82983E-05 7.00363E-03
3.10000E+01 1.50145E-10 3.61445E-08 2.81045E-05 6.76562E-03
3.20000E+01 1.35657E-10 3.18592E-08 2.79301E-05 6.55941E-03
3.30000E+01 1.22997E-10 2.82524E-08 2.77726E-05 6.37936E-03
#nucleus-nld-mass-strength-omp for 168Ho-1-1-3-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 1.01049E-13 0.00000E+00 6.34907E-22
2.00000E-03 4.61188E-12 2.02097E-13 2.31818E-19 1.01585E-20
5.00000E-03 1.15297E-11 5.05243E-13 9.05540E-18 3.96817E-19
1.00000E-02 2.30594E-11 1.01049E-12 1.44887E-16 6.34906E-18
2.00000E-02 4.61193E-11 2.02097E-12 2.31821E-15 1.01585E-16
5.00000E-02 1.15306E-10 5.05243E-12 9.05610E-14 3.96817E-15
1.00000E-01 2.30665E-10 1.01049E-11 1.44931E-12 6.34906E-14
2.00000E-01 4.61759E-10 4.04370E-11 2.32106E-11 2.03259E-12
3.00000E-01 6.93713E-10 9.10740E-11 1.17686E-10 1.54503E-11
4.00000E-01 9.26961E-10 1.62112E-10 3.72753E-10 6.51892E-11
5.00000E-01 1.16194E-09 2.53793E-10 9.12588E-10 1.99329E-10
6.00000E-01 1.39910E-09 3.66204E-10 1.89882E-09 4.97000E-10
7.00000E-01 1.63890E-09 4.99694E-10 3.53205E-09 1.07691E-09
8.00000E-01 1.88180E-09 6.54606E-10 6.05374E-09 2.10586E-09
9.00000E-01 2.12829E-09 8.31203E-10 9.74849E-09 3.80728E-09
