#ZVView-data-copy:  21-Dec-2022 12:58:22
#=======================================
#
#name:   JENDL-5: HO-166(N,G)HO-167
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  715
#data...
#            X            Y
#          MeV        barns
             4    0.0111338 
       4.11196    0.0103678 
       4.20571   0.00978146 
       4.30854   0.00918999 
       4.43525   0.00852725 
           4.5     0.008214 
       4.61251   0.00759899 
       4.70647   0.00713103 
       4.80927   0.00666158 
       4.90371   0.00626556 
             5   0.00589307 
       5.08637    0.0055199 
        5.1598   0.00522579 
       5.24282   0.00491667 
       5.33326   0.00460572 
       5.44385   0.00425844 
           5.5   0.00409474 
       5.58667   0.00382021 
       5.66025   0.00360464 
       5.74334   0.00337886 
       5.83372   0.00315262 
       5.91628   0.00296199 
        6.0345   0.00271069 
       6.12161   0.00253829 
       6.22781   0.00234583 
       6.28159   0.00225514 
       6.38986   0.00209093 
           6.5   0.00193868 
       6.62155   0.00180861 
        6.7142   0.00171683 
       6.85561   0.00158781 
             7   0.00146849 
       7.17202   0.00138152 
       7.30845   0.00131621 
           7.5   0.00123254 
       7.92749   0.00114308 
             8   0.00112888 
           8.5   0.00110132 
             9   0.00112133 
           9.5   0.00117044 
       10.0476   0.00123717 
       10.1893   0.00125445 
       10.3331   0.00127197 
       10.4789   0.00128974 
          10.5   0.00129232 
       10.6481   0.00130592 
       10.7984   0.00131971 
       10.9507    0.0013337 
            11   0.00133822 
       11.1552   0.00134521 
       11.3126   0.00135229 
       11.4722   0.00135947 
          11.5   0.00136072 
       11.6622   0.00135742 
       11.8268   0.00135407 
       11.9936   0.00135067 
            12   0.00135054 
       12.1693   0.00133447 
        12.341   0.00131816 
          12.5   0.00130307 
       12.6764   0.00127797 
       12.8552   0.00125251 
            13    0.0012319 
       13.1834   0.00120476 
       13.3694   0.00117724 
          13.5   0.00115791 
       13.6905   0.00113268 
       13.8836   0.00110711 
            14   0.00109169 
       14.1975   0.00106758 
       14.3978   0.00104312 
       14.6009   0.00101832 
       14.8069  0.000993175 
            15  0.000969605 
       15.2116  0.000941032 
       15.4262  0.000912055 
          15.5  0.000902095 
       15.7187  0.000868136 
       15.8735  0.000844092 
            16  0.000825599 
       16.2257  0.000787949 
       16.3736  0.000763293 
          16.5  0.000743587 
       16.7328  0.000703888 
       16.7481   0.00070127 
       16.9844   0.00066383 
            17  0.000661361 
       17.2398  0.000627856 
       17.3736  0.000609164 
       17.6187  0.000576916 
       17.8673  0.000544214 
       17.8737  0.000543377 
            18  0.000527866 
       18.2539  0.000501901 
       18.3737  0.000489656 
       18.6329  0.000464657 
       18.8737  0.000441433 
            19  0.000430013 
       19.2681  0.000410628 
       19.3738  0.000402983 
       19.6238  0.000386567 
       19.9007   0.00037004 
            20   0.00036411 
