#ZVView-data-copy:  21-Dec-2022 12:59:13
#=======================================
#
#name:   TENDL-2021: HO-166(N,G)HO-167
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  6402
#data...
#            X            Y
#          MeV        barns
    3.41343e-6      245.535 
    3.46158e-6      232.488 
    3.51042e-6      220.339 
    3.55994e-6      209.018 
    3.61017e-6      198.463 
     3.6611e-6      188.614 
    3.71275e-6      179.419 
    3.76513e-6       170.83 
      3.845e-6      158.997 
    3.92675e-6      148.272 
    4.01004e-6      138.592 
     4.0953e-6      129.799 
    4.18217e-6      121.849 
    4.27109e-6      114.644 
    4.36169e-6      108.145 
    4.45443e-6      102.267 
    4.54891e-6      96.9895 
    4.64563e-6      92.2493 
    4.74417e-6      88.0389 
    4.84504e-6      84.3161 
    4.94782e-6      81.0844 
    5.05302e-6       78.326 
     5.1602e-6      76.0607 
    5.26991e-6      74.2997 
    5.36084e-6      73.2725 
    5.45587e-6      72.6341 
    5.53766e-6      72.4631 
    5.63146e-6      72.7384 
    5.70552e-6      73.3516 
    5.77958e-6      74.3609 
    5.85468e-6       75.848 
    5.91663e-6      77.4808 
    5.97913e-6      79.5621 
    6.04223e-6      82.1809 
    6.10594e-6      85.4548 
    6.14901e-6      88.0898 
    6.19208e-6      91.1216 
    6.23576e-6      94.6655 
    6.27944e-6      98.7603 
    6.32374e-6      103.574 
    6.35696e-6      107.694 
    6.39049e-6      112.367 
    6.42418e-6      117.661 
    6.45787e-6      123.652 
    6.49204e-6       130.56 
    6.52621e-6      138.454 
    6.54898e-6      144.355 
    6.57208e-6      150.937 
    6.59518e-6      158.201 
    6.61828e-6      166.242 
    6.64138e-6      175.168 
     6.6648e-6       185.26 
    6.68823e-6      196.559 
    6.71165e-6      209.261 
    6.72922e-6      219.851 
    6.74586e-6       230.84 
    6.76203e-6      242.533 
     6.7782e-6      255.352 
    6.79437e-6      269.446 
    6.81055e-6      284.989 
    6.82133e-6      296.257 
    6.83942e-6      317.011 
    6.85298e-6      334.298 
    6.86655e-6      353.274 
    6.88012e-6      374.169 
    6.89369e-6      397.252 
    6.90651e-6      421.371 
    6.91934e-6      448.052 
    6.93216e-6      477.674 
    6.94499e-6      510.693 
    6.95781e-6      547.659 
    6.97064e-6      589.239 
    6.97919e-6       619.92 
    6.98774e-6      653.301 
    6.99629e-6      689.716 
    7.00484e-6      729.556 
    7.01339e-6      773.279 
    7.02194e-6      821.423 
    7.03049e-6      874.629 
    7.03882e-6      932.109 
    7.04716e-6      995.982 
     7.0555e-6      1067.28 
    7.06383e-6      1147.26 
    7.06939e-6      1206.16 
    7.07709e-6      1296.23 
     7.0835e-6         1380 
    7.08991e-6      1472.95 
    7.09632e-6      1576.56 
    7.10274e-6      1692.56 
    7.10915e-6      1823.04 
    7.11428e-6      1939.54 
    7.11941e-6      2068.41 
    7.12454e-6      2211.42 
    7.12967e-6      2370.57 
     7.1348e-6      2548.15 
    7.13993e-6      2746.79 
    7.14335e-6      2892.36 
    7.14677e-6      3049.56 
    7.15019e-6      3219.43 
    7.15361e-6      3403.07 
    7.15703e-6      3601.66 
    7.16045e-6      3816.44 
    7.16387e-6      4048.72 
    7.16729e-6      4299.87 
    7.17071e-6      4571.28 
    7.17413e-6      4864.39 
    7.17755e-6      5180.65 
    7.18097e-6      5521.52 
    7.18439e-6      5888.41 
    7.18781e-6      6282.71 
    7.19123e-6       6705.7 
    7.19585e-6      7324.32 
    7.20046e-6      7999.84 
    7.20508e-6      8734.05 
     7.2097e-6      9527.94 
    7.21431e-6      10381.4 
    7.21962e-6      11433.2 
    7.22526e-6      12632.5 
     7.2309e-6      13905.9 
    7.23945e-6      15948.1 
    7.25826e-6      20620.6 
     7.2651e-6        22243 
    7.27194e-6      23743.5 
    7.27759e-6      24852.2 
    7.28323e-6      25813.6 
    7.28904e-6      26623.3 
    7.29315e-6      27071.5 
    7.29725e-6      27409.8 
    7.30136e-6      27633.1 
    7.30719e-6      27746.4 
    7.31228e-6      27647.5 
    7.31777e-6      27337.6 
    7.32256e-6      26900.3 
    7.32872e-6      26126.5 
    7.33487e-6      25138.4 
    7.34034e-6      24105.5 
    7.34718e-6      22649.6 
    7.35402e-6      21059.4 
    7.37796e-6      15165.2 
     7.3848e-6      13564.7 
    7.38993e-6      12425.4 
    7.39575e-6      11209.4 
    7.40122e-6      10144.8 
    7.40532e-6      9399.74 
    7.40943e-6      8701.28 
    7.41353e-6      8049.37 
    7.41695e-6      7541.22 
    7.42037e-6      7064.29 
    7.42379e-6      6617.74 
    7.42721e-6      6200.51 
    7.43063e-6      5811.43 
    7.43405e-6      5449.24 
    7.43747e-6      5112.58 
    7.44089e-6      4800.05 
    7.44431e-6      4510.25 
    7.44773e-6      4241.75 
    7.45115e-6      3993.16 
    7.45457e-6      3763.11 
    7.45799e-6      3550.27 
    7.46141e-6      3353.38 
    7.46483e-6      3171.22 
    7.46825e-6      3002.64 
    7.47167e-6      2846.56 
     7.4768e-6      2633.69 
    7.48193e-6      2443.58 
    7.48706e-6      2273.43 
    7.49219e-6      2120.78 
    7.49764e-6      1975.36 
     7.5017e-6      1876.91 
     7.5078e-6      1743.14 
    7.51389e-6      1623.93 
    7.51998e-6      1517.25 
    7.52607e-6      1421.38 
    7.53238e-6      1332.02 
    7.53879e-6      1250.05 
     7.5452e-6       1175.9 
    7.55162e-6      1108.57 
    7.55803e-6      1047.21 
     7.5623e-6      1009.27 
    7.57043e-6      942.978 
    7.57855e-6      883.377 
    7.58667e-6      829.569 
    7.59479e-6      780.803 
    7.60292e-6      736.449 
    7.61104e-6      695.977 
    7.61916e-6      658.934 
    7.62728e-6      624.936 
    7.63583e-6      592.072 
    7.64438e-6       561.88 
    7.65293e-6      534.073 
    7.66576e-6      496.299 
    7.67858e-6      462.628 
    7.69141e-6       432.48 
